clip_id,label,label_3c,group_id,device,fold
c003cd25f5a5f,leak,leak,g90008d534d,noise logger,val
c00c343da6afa,leak,leak,gb24583bad5,noise logger,test
c0128b879694e,no_leak,no_leak,g1a1e006151,noise logger,test
c02543903a0da,leak,leak,g0dc60b63c4,noise logger,train
c033723905116,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c034866574cf1,leak,leak,gd633d9c2a7,noise logger,test
c040f9dc9b422,leak,leak,gd3a4050039,noise logger,val
c04206cc802ff,no_leak,no_leak,g93f57e4971,noise logger,train
c04498a7ed239,leak,leak,gd09830c3f7,hydrophone,val
c04baf7fef3e6,no_leak,no_leak,gcd751f65bd,noise logger,test
c050246533b34,no_leak,no_leak,g93f57e4971,noise logger,train
c050cf56bc553,no_leak,no_leak,gea042922d6,noise logger,train
c05d66d9aed9d,no_leak,no_leak,g3cc844e970,hydrophone,train
c05d8158c3707,leak,leak,g632a2e7108,noise logger,train
c05da778ba8ec,no_leak,no_leak,gea042922d6,noise logger,train
c05f4f069b542,no_leak,no_leak,g953e24b384,noise logger,val
c062288ccfbf0,leak,leak,ge46d7df3d6,noise logger,val
c063306a756e0,no_leak,no_leak,g953e24b384,noise logger,val
c064b4d3a7013,leak,leak,g501d705caa,noise logger,train
c06568d1b9f0f,leak,leak,g91e35525fa,noise logger,train
c067add6c95ef,no_leak,no_leak,g90d728455c,hydrophone,train
c06ccf39a495b,leak,leak,g2770c5a3c6,noise logger,test
c0733c4c950d5,no_leak,no_leak,gea042922d6,noise logger,train
c07be70f98513,no_leak,no_leak,ge461b80ac9,hydrophone,train
c07c975f95b7e,leak,leak,g7743b0601e,noise logger,val
c07e9a820a771,no_leak,no_leak,g3cc844e970,hydrophone,train
c07f1a9a23449,no_leak,no_leak,gea042922d6,noise logger,train
c0805b0f448be,no_leak,no_leak,g90d728455c,hydrophone,train
c089e36733958,leak,leak,g1c98834423,noise logger,train
c08a67eff0015,no_leak,no_leak,g3dc66f5a62,noise logger,train
c0911d89cc12e,leak,leak,g57e9c44b88,noise logger,val
c0939263c9853,no_leak,no_leak,ge461b80ac9,hydrophone,train
c0961e1ade67e,no_leak,no_leak,g93f57e4971,noise logger,train
c09845d7bb23e,leak,leak,gd633d9c2a7,noise logger,test
c09d46248c4c7,no_leak,noise,g2699508b27,noise logger,train
c09f5a9f2c37e,no_leak,no_leak,g93f57e4971,noise logger,train
c0a700e9fe637,leak,leak,g547cdb378c,noise logger,val
c0a9746b5d9ae,leak,leak,gc2ad087132,hydrophone,test
c0c6081270402,leak,leak,g286d8484cb,noise logger,train
c0c71a8a9cb3b,no_leak,no_leak,g094234dd26,hydrophone,train
c0c964c407cd9,no_leak,no_leak,g094234dd26,hydrophone,train
c0cb708e68599,no_leak,no_leak,g3cc844e970,hydrophone,train
