clip_id,path,material,region,pressure_mpa,flow_ms,noise_category,window,rep,md5,group_id,fold
c003cd25f5a5f,leak acoustic data/ductile iron-NA-0.3234 MPa-0.31 ms-noise logger-0-1.wav,ductile iron,NA,0.3234 MPa,0.31 ms,NA,0,,dcc6253fe973753e5a7f7a719f77fba7,g90008d534d,val
c00c343da6afa,leak acoustic data/pe-NA-0.3280 MPa-1.46 ms-noise logger-0-1_1.wav,pe,NA,0.3280 MPa,1.46 ms,NA,0,1,f9aece8230337782df23e3ee3d6bc01a,gb24583bad5,test
c0128b879694e,no leak acoustic data/ductile iron-zone 1-NA-NA-noise logger_1-2.wav,ductile iron,zone 1,NA,NA,NA,1,,528d81ba7cc332f3f89cb1c06de37799,g1a1e006151,test
c02543903a0da,leak acoustic data/pe-NA-0.2742 MPa-4.18 ms-noise logger-0-1.wav,pe,NA,0.2742 MPa,4.18 ms,NA,0,,44a7f5d4ed12b0a6916c16df163c3c9d,g0dc60b63c4,train
c033723905116,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_3-4_6.wav,ductile iron,zone 2,NA,NA,NA,3,6,fb09c184e8e4cd3529a304730f812feb,g3fbe7ffa72,test
c034866574cf1,leak acoustic data/ductile iron-zone 1-0.32 MPa-NA-noise logger-0-1_1.wav,ductile iron,zone 1,0.32 MPa,NA,NA,0,1,385bc4a29854b99a9f8728fa3ad68548,gd633d9c2a7,test
c040f9dc9b422,leak acoustic data/pe-NA-0.3153 MPa-0.57 ms-noise logger-0-1.wav,pe,NA,0.3153 MPa,0.57 ms,NA,0,,f59219eeb76f06f350fe8b86bd219778,gd3a4050039,val
c04206cc802ff,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_14.wav,ductile iron,NA,NA,NA,NA,0,14,f875b168e74983f17852dfa654e38dff,g93f57e4971,train
c04498a7ed239,leak acoustic data/ductile iron-NA-0.2349 MPa-4.10 ms-hydrophone-0-1.wav,ductile iron,NA,0.2349 MPa,4.10 ms,NA,0,,4b5e1f434b4dfcd71692aaf1c62ea40e,gd09830c3f7,val
c04baf7fef3e6,no leak acoustic data/NA-NA-NA-NA-noise logger_2-3.wav,NA,NA,NA,NA,NA,2,,045bd0bf8ecfadd2353a27d1d18fd673,gcd751f65bd,test
c050246533b34,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_4-5.wav,ductile iron,NA,NA,NA,NA,4,,68c8257775aef06f742e4bdcb6aaa880,g93f57e4971,train
c050cf56bc553,no leak acoustic data/pe-zone 2-NA-NA-noise logger_3-4_4.wav,pe,zone 2,NA,NA,NA,3,4,2eae862b51282ecd93c12279101485d1,gea042922d6,train
c05d66d9aed9d,no leak acoustic data/ductile iron-NA-NA-NA-hydrophone_2-3_1.wav,ductile iron,NA,NA,NA,NA,2,1,49ba493b20340ef4aa0abe7ca4ab16cb,g3cc844e970,train
c05d8158c3707,leak acoustic data/pe-NA-0.1892 MPa-3.59 ms-noise logger-0-1.wav,pe,NA,0.1892 MPa,3.59 ms,NA,0,,36a1d62515b8aa7b1a816c08e856028b,g632a2e7108,train
c05da778ba8ec,no leak acoustic data/pe-zone 2-NA-NA-noise logger_2-3_3.wav,pe,zone 2,NA,NA,NA,2,3,c1c66462ea3047e9c5d3b508f6130c9b,gea042922d6,train
c05f4f069b542,no leak acoustic data/pe-NA-NA-NA-noise logger_2-3_11.wav,pe,NA,NA,NA,NA,2,11,5b03efd873490230a0f417a98e4c52c9,g953e24b384,val
c062288ccfbf0,leak acoustic data/ductile iron-NA-0.3441 MPa-0.22 ms-noise logger-0-1_1.wav,ductile iron,NA,0.3441 MPa,0.22 ms,NA,0,1,cc48581925f93e6d4cf7468a5ad4d887,ge46d7df3d6,val
c063306a756e0,no leak acoustic data/pe-NA-NA-NA-noise logger_3-4_6.wav,pe,NA,NA,NA,NA,3,6,8a1afec32d62cf3f730b87aabe01bb9e,g953e24b384,val
c064b4d3a7013,leak acoustic data/pe-NA-0.2425 MPa-3.97 ms-noise logger-0-1.wav,pe,NA,0.2425 MPa,3.97 ms,NA,0,,e287c980b0d06e3ddc557c089d0b9f0d,g501d705caa,train
c06568d1b9f0f,leak acoustic data/pe-zone 2-0.3172 MPa-0.95 ms-noise logger-0-1_1.wav,pe,zone 2,0.3172 MPa,0.95 ms,NA,0,1,a583588d6eba0c869c4a2a69aaae71c1,g91e35525fa,train
c067add6c95ef,no leak acoustic data/NA-NA-NA-NA-hydrophone_0-1.wav,NA,NA,NA,NA,NA,0,,73b63d56891749fb444de19dd817fe4f,g90d728455c,train
c06ccf39a495b,leak acoustic data/ductile iron-NA-0.3231 MPa-0.10 ms-noise logger-0-1_1.wav,ductile iron,NA,0.3231 MPa,0.10 ms,NA,0,1,ab8a2a66bfc2ed3817e6dd18225b8aba,g2770c5a3c6,test
c0733c4c950d5,no leak acoustic data/pe-zone 2-NA-NA-noise logger_1-2_4.wav,pe,zone 2,NA,NA,NA,1,4,71ae3a44df80b17ce3489313245afa3a,gea042922d6,train
c07be70f98513,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_2-3.wav,pe,zone 2,NA,NA,NA,2,,bdeae1247ce0df9591f6311195884aef,ge461b80ac9,train
c07c975f95b7e,leak acoustic data/pe-NA-0.3302 MPa-1.44 ms-noise logger-0-1_1.wav,pe,NA,0.3302 MPa,1.44 ms,NA,0,1,988974709ccf402e39077016824a1384,g7743b0601e,val
c07e9a820a771,no leak acoustic data/ductile iron-NA-NA-NA-hydrophone_3-4_1.wav,ductile iron,NA,NA,NA,NA,3,1,da678aa996c9f4be36cc3f08cc2d506d,g3cc844e970,train
c07f1a9a23449,no leak acoustic data/pe-zone 2-NA-NA-noise logger_3-4_2.wav,pe,zone 2,NA,NA,NA,3,2,e66c44ebdd5b79cf1adbea3b3509f34a,gea042922d6,train
c0805b0f448be,no leak acoustic data/NA-NA-NA-NA-hydrophone_0-1_1.wav,NA,NA,NA,NA,NA,0,1,0f5b7bd524aa9f616fa24c92aab81a1b,g90d728455c,train
c089e36733958,leak acoustic data/pe-zone 2-0.3245 MPa-1.68 ms-noise logger-0-1.wav,pe,zone 2,0.3245 MPa,1.68 ms,NA,0,,3317cf871ed404c164f6ee116f8f2494,g1c98834423,train
c08a67eff0015,no leak acoustic data/steel-zone 1-NA-NA-noise logger_3-4.wav,steel,zone 1,NA,NA,NA,3,,87e3532f3cfd4e4ba395e0d06bda4758,g3dc66f5a62,train
c0911d89cc12e,leak acoustic data/ductile iron-NA-0.2755 MPa-4.38 ms-noise logger-0-1.wav,ductile iron,NA,0.2755 MPa,4.38 ms,NA,0,,dbc9ea19374537bbfd0610dc8ba5961f,g57e9c44b88,val
c0939263c9853,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_3-4_3.wav,pe,zone 2,NA,NA,NA,3,3,de759f839ebd6715871d67dee94b758c,ge461b80ac9,train
c0961e1ade67e,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_4.wav,ductile iron,NA,NA,NA,NA,0,4,9fa8f753fc8333e4478462a36c67b5cd,g93f57e4971,train
c09845d7bb23e,leak acoustic data/ductile iron-zone 1-0.32 MPa-NA-noise logger-0-1_2.wav,ductile iron,zone 1,0.32 MPa,NA,NA,0,2,282f2cd293830826efd523082f0329c0,gd633d9c2a7,test
c09d46248c4c7,environmental noise/dog_5-NA-noise logger_0-1.wav,NA,NA,NA,NA,dog_5,0,,bb758b3ac1e3ce2335ff7a67a4d5f290,g2699508b27,train
c09f5a9f2c37e,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_3.wav,ductile iron,NA,NA,NA,NA,0,3,e4a90d075a4b62e35d70ccf7b403d263,g93f57e4971,train
c0a700e9fe637,leak acoustic data/ductile iron-NA-0.3137 MPa-0.42 ms-noise logger-0-1.wav,ductile iron,NA,0.3137 MPa,0.42 ms,NA,0,,f9241052b2c225a7b266ffea0ae6672e,g547cdb378c,val
c0a9746b5d9ae,leak acoustic data/ductile iron-NA-0.2742 MPa-4.18 ms-hydrophone-0-1.wav,ductile iron,NA,0.2742 MPa,4.18 ms,NA,0,,bde1c58e68c7b3773852f86cd534f481,gc2ad087132,test
c0c6081270402,leak acoustic data/ductile iron-NA-0.1545 MPa-3.36 ms-noise logger-0-1.wav,ductile iron,NA,0.1545 MPa,3.36 ms,NA,0,,f303bef99c6803a6edbbddc64f94f556,g286d8484cb,train
c0c71a8a9cb3b,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_4-5_2.wav,ductile iron,zone 2,NA,NA,NA,4,2,1cb780dfc695ed4f65649daaa7a96b26,g094234dd26,train
c0c964c407cd9,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_0-1_2.wav,ductile iron,zone 2,NA,NA,NA,0,2,bbacc6ebf78af1df92537327a5fcfb90,g094234dd26,train
c0cb708e68599,no leak acoustic data/ductile iron-NA-NA-NA-hydrophone_1-2_1.wav,ductile iron,NA,NA,NA,NA,1,1,94c147136c98984c0eebf46484be7a4a,g3cc844e970,train
c0d7da724a381,leak acoustic data/pe-NA-0.2349 MPa-4.10 ms-noise logger-0-1.wav,pe,NA,0.2349 MPa,4.10 ms,NA,0,,e072ed287185957dfa68173264dcaaec,g5b87e2ecdf,test
c0da64783fe68,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_2-3_1.wav,ductile iron,zone 2,NA,NA,NA,2,1,8569587281898150329104570550b109,g094234dd26,train
c0dda64d44b22,no leak acoustic data/pe-zone 2-NA-NA-noise logger_0-1_7.wav,pe,zone 2,NA,NA,NA,0,7,6809b40802e61de19debba8ee57b2c2b,gea042922d6,train
c0e1ae9059e5f,leak acoustic data/ductile iron-zone 2-0.312 MPa-0.9 ms-noise logger-0-1_2.wav,ductile iron,zone 2,0.312 MPa,0.9 ms,NA,0,2,58d2322f3bf7e615e21a2af71484ac0c,g506e358162,train
c0e232e8abefd,no leak acoustic data/pe-NA-NA-NA-noise logger_1-2_5.wav,pe,NA,NA,NA,NA,1,5,c93f625379f700db99930d8f5e66640f,g953e24b384,val
c0e40d3aab938,leak acoustic data/ductile iron-NA-0.2377 MPa-3.95 ms-noise logger-0-1.wav,ductile iron,NA,0.2377 MPa,3.95 ms,NA,0,,d61406b8fbbfb6bad5771964eea91146,g603bd7abc6,test
c0f537ec98725,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_10.wav,ductile iron,NA,NA,NA,NA,0,10,b7b7a28a27557c60ccb90ef8a1c43258,g93f57e4971,train
c0f88d4e5d2f8,leak acoustic data/pe-NA-0.3210 MPa-0.2 ms-noise logger-0-1.wav,pe,NA,0.3210 MPa,0.2 ms,NA,0,,50fabd9d56753fc16201158d9c8440ed,gc738817d71,train
c0f921fc0a408,environmental noise/drilling_8-NA-noise logger_2-3.wav,NA,NA,NA,NA,drilling_8,2,,2cf45aa28b23a94de991920023b123ea,gfbae961416,train
c0fe8fba2c03f,leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone-0-1.wav,ductile iron,zone 2,NA,NA,NA,0,,d84e576d113d16877600420b508dc7ca,g89e835056a,val
c10273d0a0209,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_0-1.wav,pe,zone 2,NA,NA,NA,0,,e7a5494582417853d49bab6b2379d62d,ge461b80ac9,train
c103ffc107587,leak acoustic data/pe-zone 2-0.305 MPa-1.6 ms-noise logger-0-1_1.wav,pe,zone 2,0.305 MPa,1.6 ms,NA,0,1,c014e8ae46c1edd39ffe867affae9b3c,g506e358162,train
c10c1667ab97e,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_2-3_3.wav,ductile iron,zone 2,NA,NA,NA,2,3,a0268cf791cffc742e0be244ede91945,g3fbe7ffa72,test
c10c680f7a935,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_4-5.wav,ductile iron,zone 2,NA,NA,NA,4,,f61eb459c89758ae4fe55555d345b24b,g3fbe7ffa72,test
c10cb1f471566,environmental noise/dog_4-NA-noise logger_0-1.wav,NA,NA,NA,NA,dog_4,0,,5f14f75143d2f6e532f5e88f9bf8967d,g56541b0ca2,train
c10d8db301dc4,environmental noise/drum-NA-noise logger_0-1.wav,NA,NA,NA,NA,drum,0,,9e78d6fa8aef69ffb28f697a750432d6,gbc5a7596b0,train
c10dbbe1fe88e,leak acoustic data/ductile iron-zone 2-0.315 MPa-1.34 ms-noise logger-0-1_4.wav,ductile iron,zone 2,0.315 MPa,1.34 ms,NA,0,4,0b448801ba9aec5ef4f7594c42a48280,gafc0f4072f,train
c10f28ad85eb4,leak acoustic data/ductile iron-NA-0.1803 MPa-3.68 ms-noise logger-0-1_1.wav,ductile iron,NA,0.1803 MPa,3.68 ms,NA,0,1,416369c285a0b726dd268aa2ad9a5946,gdbd857e593,train
c112f81c56ca1,leak acoustic data/pe-NA-0.3202 MPa-0.60 ms-noise logger-0-1.wav,pe,NA,0.3202 MPa,0.60 ms,NA,0,,d1584be5a5d05bc1649204fac4ea0cb8,g92ebe4b6ef,train
c115e653341a1,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_4-5_5.wav,ductile iron,zone 2,NA,NA,NA,4,5,3451f89ab4c3f587e2aab791f155fdbd,g3fbe7ffa72,test
c116a00f4fb3f,leak acoustic data/ductile iron-NA-0.2339 MPa-4.20 ms-noise logger-0-1_1.wav,ductile iron,NA,0.2339 MPa,4.20 ms,NA,0,1,0546e1063a9f968563906efc524f559f,g54d07bb642,train
c11831df929ff,no leak acoustic data/steel-zone 1-NA-NA-noise logger_2-3.wav,steel,zone 1,NA,NA,NA,2,,a7d41923f08bbd6f110b4081ace1b97e,g3dc66f5a62,train
c11e7827033dd,leak acoustic data/pe-NA-0.2437 MPa-3.98 ms-noise logger-0-1.wav,pe,NA,0.2437 MPa,3.98 ms,NA,0,,a2dbfa80034cfdcdd3a420e9a5c7189d,geec76fe10f,val
c122a79440158,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_11.wav,ductile iron,NA,NA,NA,NA,0,11,a4893d5ea7de684781f779cb281f0633,g93f57e4971,train
c1269b91604b3,leak acoustic data/ductile iron-NA-0.1771 MPa-3.62 ms-noise logger-0-1.wav,ductile iron,NA,0.1771 MPa,3.62 ms,NA,0,,056a85d8267a2e2b9f11aadfdd13d36f,gd20a2b9c29,train
c128d061d7c0f,no leak acoustic data/pe-NA-NA-NA-noise logger_4-5_4.wav,pe,NA,NA,NA,NA,4,4,62966b4717d829b08e2fb62f64503ab4,g953e24b384,val
c132422b849a7,environmental noise/hydrant_normal-NA-noise logger_1-2.wav,NA,NA,NA,NA,hydrant_normal,1,,a592c9fb0fc27550358d5dc3662c1427,g48faea8687,train
c13b609dbac9e,environmental noise/rain-NA-noise logger_0-1.wav,NA,NA,NA,NA,rain,0,,84f4ac0f81450135ba1e6a265f005395,gee16bed717,val
c14279feb46c4,leak acoustic data/ductile iron-NA-0.2242 MPa-3.90 ms-noise logger-0-1_1.wav,ductile iron,NA,0.2242 MPa,3.90 ms,NA,0,1,f932f77b06101b2505eb024dca7fd1ed,gf3ca82006e,test
c144c81ae2879,leak acoustic data/ductile iron-zone 2-0.3132 MPa-0.8 ms-noise logger-0-1.wav,ductile iron,zone 2,0.3132 MPa,0.8 ms,NA,0,,d647a42cd5006a38962cf3f38d1d53f0,g2b5e88ca49,test
c14884d921cc1,environmental noise/dog_5-NA-noise logger_3-4.wav,NA,NA,NA,NA,dog_5,3,,4173baae6c7f2750a64fa3e9351b7836,g2699508b27,train
c1499c35cbab2,leak acoustic data/ductile iron-NA-0.3212 MPa-1.23 ms-hydrophone-0-1.wav,ductile iron,NA,0.3212 MPa,1.23 ms,NA,0,,46573a3c79d3a004906c3d43c2e70657,g94b1119776,train
c15011e08795d,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_1-2_2.wav,ductile iron,zone 2,NA,NA,NA,1,2,9499a0ff67c7778ae99a70302d820489,g3fbe7ffa72,test
c150583d1dbbe,leak acoustic data/ductile iron-NA-0.2233 MPa-3.77 ms-noise logger-0-1.wav,ductile iron,NA,0.2233 MPa,3.77 ms,NA,0,,20c77a15bc6a8b31a9805981752d5682,gd7c7c04d20,test
c1534fe458cda,leak acoustic data/pe-zone 2-NA-NA-noise logger-0-1_6.wav,pe,zone 2,NA,NA,NA,0,6,fa4bf34a8c2468c7acf473c2049df5fa,g5142c16106,train
c1564ac4f839d,leak acoustic data/ductile iron-NA-0.1545 MPa-3.40 ms-noise logger-0-1_1.wav,ductile iron,NA,0.1545 MPa,3.40 ms,NA,0,1,70c23d11c17200cace23050ecd98aeb3,g98b0f1afcd,test
c15d5da067761,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_2-3_1.wav,pe,zone 2,NA,NA,NA,2,1,5ebf454e3e59a7b713fc4a2981ac9f64,ge461b80ac9,train
c163826f414a4,no leak acoustic data/pe-NA-NA-NA-noise logger_2-3_7.wav,pe,NA,NA,NA,NA,2,7,c0be5e0761abaf1518ff651ef2503056,g953e24b384,val
c1683ed31e294,leak acoustic data/pe-NA-0.2761 MPa-4.42 ms-noise logger-0-1.wav,pe,NA,0.2761 MPa,4.42 ms,NA,0,,cd354dcb29e30b6c1e06ae8355ae178e,gc1d71cfa61,train
