clip_id,label,label_3c,group_id,fold
c003cd25f5a5f,leak,leak,gc9b93e189b,test
c00c343da6afa,leak,leak,g097831ac4c,val
c0128b879694e,no_leak,no_leak,gd2da168526,train
c02543903a0da,leak,leak,gbcf550a5ee,train
c033723905116,no_leak,no_leak,ga4d5f79c1b,test
c034866574cf1,leak,leak,gc1728a6abf,val
c040f9dc9b422,leak,leak,ge8f0f4a3da,val
c04206cc802ff,no_leak,no_leak,g07ac25f1e0,train
c04498a7ed239,leak,leak,gdc4d4d1b74,train
c04baf7fef3e6,no_leak,no_leak,g60e6ee291d,train
c050246533b34,no_leak,no_leak,g07ac25f1e0,train
c050cf56bc553,no_leak,no_leak,g3aa9a8f111,val
c05d66d9aed9d,no_leak,no_leak,g07ac25f1e0,train
c05d8158c3707,leak,leak,g72971ef0cc,train
c05da778ba8ec,no_leak,no_leak,g3aa9a8f111,val
c05f4f069b542,no_leak,no_leak,g46286703fa,train
c062288ccfbf0,leak,leak,g71c7290dc4,train
c063306a756e0,no_leak,no_leak,g46286703fa,train
c064b4d3a7013,leak,leak,g5a209470f2,train
c06568d1b9f0f,leak,leak,ga7bab1b774,train
c067add6c95ef,no_leak,no_leak,g60e6ee291d,train
c06ccf39a495b,leak,leak,g0a0ca7697a,train
c0733c4c950d5,no_leak,no_leak,g3aa9a8f111,val
c07be70f98513,no_leak,no_leak,g3aa9a8f111,val
c07c975f95b7e,leak,leak,gd4598815b5,train
c07e9a820a771,no_leak,no_leak,g07ac25f1e0,train
c07f1a9a23449,no_leak,no_leak,g3aa9a8f111,val
c0805b0f448be,no_leak,no_leak,g60e6ee291d,train
c089e36733958,leak,leak,gab37cb9a8d,train
c08a67eff0015,no_leak,no_leak,ge9b5969de0,train
c0911d89cc12e,leak,leak,gf05d2e1f49,train
c0939263c9853,no_leak,no_leak,g3aa9a8f111,val
c0961e1ade67e,no_leak,no_leak,g07ac25f1e0,train
c09845d7bb23e,leak,leak,gc1728a6abf,val
c09d46248c4c7,no_leak,noise,gabeb318a09,val
c09f5a9f2c37e,no_leak,no_leak,g07ac25f1e0,train
c0a700e9fe637,leak,leak,g52f27520ea,test
c0a9746b5d9ae,leak,leak,gbcf550a5ee,train
c0c6081270402,leak,leak,gdc4d4d1b74,train
c0c71a8a9cb3b,no_leak,no_leak,ga4d5f79c1b,test
c0c964c407cd9,no_leak,no_leak,ga4d5f79c1b,test
c0cb708e68599,no_leak,no_leak,g07ac25f1e0,train
c0d7da724a381,leak,leak,gdc4d4d1b74,train
c0da64783fe68,no_leak,no_leak,ga4d5f79c1b,test
c0dda64d44b22,no_leak,no_leak,g3aa9a8f111,val
c0e1ae9059e5f,leak,leak,gbd8e42847a,val
c0e232e8abefd,no_leak,no_leak,g46286703fa,train
c0e40d3aab938,leak,leak,gcdfe50e5af,test
c0f537ec98725,no_leak,no_leak,g07ac25f1e0,train
c0f88d4e5d2f8,leak,leak,gdd92357c7e,val
c0f921fc0a408,no_leak,noise,g9ab0cbcb70,train
c0fe8fba2c03f,leak,leak,g65d97e5de6,test
c10273d0a0209,no_leak,no_leak,g3aa9a8f111,val
c103ffc107587,leak,leak,gbd8e42847a,val
c10c1667ab97e,no_leak,no_leak,ga4d5f79c1b,test
c10c680f7a935,no_leak,no_leak,ga4d5f79c1b,test
c10cb1f471566,no_leak,noise,gdb331c1860,val
c10d8db301dc4,no_leak,noise,gd61c1fa88a,train
c10dbbe1fe88e,leak,leak,g411f1c3a8a,train
c10f28ad85eb4,leak,leak,gb6e25e47de,train
c112f81c56ca1,leak,leak,gd37b7e3da0,train
c115e653341a1,no_leak,no_leak,ga4d5f79c1b,test
c116a00f4fb3f,leak,leak,g31f494f9af,val
c11831df929ff,no_leak,no_leak,ge9b5969de0,train
c11e7827033dd,leak,leak,g809b43e6f0,test
c122a79440158,no_leak,no_leak,g07ac25f1e0,train
c1269b91604b3,leak,leak,gdc4d4d1b74,train
c128d061d7c0f,no_leak,no_leak,g46286703fa,train
c132422b849a7,no_leak,noise,g03a8c8e492,train
c13b609dbac9e,no_leak,noise,g4db42c620a,train
c14279feb46c4,leak,leak,gf98db9952c,train
c144c81ae2879,leak,leak,gfe15fdf3e1,test
c14884d921cc1,no_leak,noise,gabeb318a09,val
c1499c35cbab2,leak,leak,g50b627059e,train
c15011e08795d,no_leak,no_leak,ga4d5f79c1b,test
c150583d1dbbe,leak,leak,gb577968cb1,train
c1534fe458cda,leak,leak,gd2cdf4b672,test
c1564ac4f839d,leak,leak,gdc4d4d1b74,train
c15d5da067761,no_leak,no_leak,g3aa9a8f111,val
c163826f414a4,no_leak,no_leak,g46286703fa,train
c1683ed31e294,leak,leak,g27ceee2299,train
c168af95e2156,no_leak,noise,gdb331c1860,val
c168e7b1c5768,no_leak,no_leak,g07ac25f1e0,train
c172f3caf0939,no_leak,no_leak,g4a6d62802d,train
c17c3c87dbd77,no_leak,noise,g8d6b13227b,train
c186eb3b4bb13,leak,leak,gb8ea2685b2,train
c189aa961829b,leak,leak,gdc4d4d1b74,train
c18a6a959b315,no_leak,no_leak,g07ac25f1e0,train
c18d59fc1c422,leak,leak,gbcf550a5ee,train
c18de6d16a39f,no_leak,noise,gc6ab9b7692,val
c18ded00027e1,no_leak,no_leak,g07ac25f1e0,train
c18e2198c3457,leak,leak,g88c7bfd6e1,train
c1a020e75d17e,no_leak,no_leak,g46286703fa,train
c1a51d58f9912,leak,leak,g9cd3d9a990,val
c1a75063384b0,leak,leak,gc76b064140,test
c1a8c60507b53,no_leak,no_leak,g46286703fa,train
c1a8f1d23de2c,leak,leak,g5a209470f2,train
c1aa75bc3586d,no_leak,noise,g03a8c8e492,train
c1ab4f5e70960,leak,leak,g31a30cc499,train
c1b4b1aa0251e,leak,leak,g889c1c063a,test
c1be97c617ebf,leak,leak,g411f1c3a8a,train
c1c028b713d91,leak,leak,gaff98a88ce,test
c1c2fe8506dad,leak,leak,gb8b74c622f,test
c1d12c9544383,no_leak,no_leak,ga4d5f79c1b,test
c1d63f2fac16f,leak,leak,g358b38eba1,train
c1d7389b5e3dc,leak,leak,gbc971f304e,val
c1d9472c3c5b1,no_leak,noise,g7318b6ee2e,train
c1dea85a5c168,no_leak,no_leak,g07ac25f1e0,train
c1e54ae43a9f6,leak,leak,g94a157eb60,train
