clip_id,path,device,material,region,pressure_mpa,flow_ms,noise_category,window,rep,md5,group_id,fold
c003cd25f5a5f,leak acoustic data/ductile iron-NA-0.3234 MPa-0.31 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.3234 MPa,0.31 ms,NA,0,,dcc6253fe973753e5a7f7a719f77fba7,gc9b93e189b,test
c00c343da6afa,leak acoustic data/pe-NA-0.3280 MPa-1.46 ms-noise logger-0-1_1.wav,noise logger,pe,NA,0.3280 MPa,1.46 ms,NA,0,1,f9aece8230337782df23e3ee3d6bc01a,g097831ac4c,val
c0128b879694e,no leak acoustic data/ductile iron-zone 1-NA-NA-noise logger_1-2.wav,noise logger,ductile iron,zone 1,NA,NA,NA,1,,528d81ba7cc332f3f89cb1c06de37799,gd2da168526,train
c02543903a0da,leak acoustic data/pe-NA-0.2742 MPa-4.18 ms-noise logger-0-1.wav,noise logger,pe,NA,0.2742 MPa,4.18 ms,NA,0,,44a7f5d4ed12b0a6916c16df163c3c9d,gbcf550a5ee,train
c033723905116,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_3-4_6.wav,noise logger,ductile iron,zone 2,NA,NA,NA,3,6,fb09c184e8e4cd3529a304730f812feb,ga4d5f79c1b,test
c034866574cf1,leak acoustic data/ductile iron-zone 1-0.32 MPa-NA-noise logger-0-1_1.wav,noise logger,ductile iron,zone 1,0.32 MPa,NA,NA,0,1,385bc4a29854b99a9f8728fa3ad68548,gc1728a6abf,val
c040f9dc9b422,leak acoustic data/pe-NA-0.3153 MPa-0.57 ms-noise logger-0-1.wav,noise logger,pe,NA,0.3153 MPa,0.57 ms,NA,0,,f59219eeb76f06f350fe8b86bd219778,ge8f0f4a3da,val
c04206cc802ff,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_14.wav,noise logger,ductile iron,NA,NA,NA,NA,0,14,f875b168e74983f17852dfa654e38dff,g07ac25f1e0,train
c04498a7ed239,leak acoustic data/ductile iron-NA-0.2349 MPa-4.10 ms-hydrophone-0-1.wav,hydrophone,ductile iron,NA,0.2349 MPa,4.10 ms,NA,0,,4b5e1f434b4dfcd71692aaf1c62ea40e,gdc4d4d1b74,train
c04baf7fef3e6,no leak acoustic data/NA-NA-NA-NA-noise logger_2-3.wav,noise logger,NA,NA,NA,NA,NA,2,,045bd0bf8ecfadd2353a27d1d18fd673,g60e6ee291d,train
c050246533b34,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_4-5.wav,noise logger,ductile iron,NA,NA,NA,NA,4,,68c8257775aef06f742e4bdcb6aaa880,g07ac25f1e0,train
c050cf56bc553,no leak acoustic data/pe-zone 2-NA-NA-noise logger_3-4_4.wav,noise logger,pe,zone 2,NA,NA,NA,3,4,2eae862b51282ecd93c12279101485d1,g3aa9a8f111,val
c05d66d9aed9d,no leak acoustic data/ductile iron-NA-NA-NA-hydrophone_2-3_1.wav,hydrophone,ductile iron,NA,NA,NA,NA,2,1,49ba493b20340ef4aa0abe7ca4ab16cb,g07ac25f1e0,train
c05d8158c3707,leak acoustic data/pe-NA-0.1892 MPa-3.59 ms-noise logger-0-1.wav,noise logger,pe,NA,0.1892 MPa,3.59 ms,NA,0,,36a1d62515b8aa7b1a816c08e856028b,g72971ef0cc,train
c05da778ba8ec,no leak acoustic data/pe-zone 2-NA-NA-noise logger_2-3_3.wav,noise logger,pe,zone 2,NA,NA,NA,2,3,c1c66462ea3047e9c5d3b508f6130c9b,g3aa9a8f111,val
c05f4f069b542,no leak acoustic data/pe-NA-NA-NA-noise logger_2-3_11.wav,noise logger,pe,NA,NA,NA,NA,2,11,5b03efd873490230a0f417a98e4c52c9,g46286703fa,train
c062288ccfbf0,leak acoustic data/ductile iron-NA-0.3441 MPa-0.22 ms-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.3441 MPa,0.22 ms,NA,0,1,cc48581925f93e6d4cf7468a5ad4d887,g71c7290dc4,train
c063306a756e0,no leak acoustic data/pe-NA-NA-NA-noise logger_3-4_6.wav,noise logger,pe,NA,NA,NA,NA,3,6,8a1afec32d62cf3f730b87aabe01bb9e,g46286703fa,train
c064b4d3a7013,leak acoustic data/pe-NA-0.2425 MPa-3.97 ms-noise logger-0-1.wav,noise logger,pe,NA,0.2425 MPa,3.97 ms,NA,0,,e287c980b0d06e3ddc557c089d0b9f0d,g5a209470f2,train
c06568d1b9f0f,leak acoustic data/pe-zone 2-0.3172 MPa-0.95 ms-noise logger-0-1_1.wav,noise logger,pe,zone 2,0.3172 MPa,0.95 ms,NA,0,1,a583588d6eba0c869c4a2a69aaae71c1,ga7bab1b774,train
c067add6c95ef,no leak acoustic data/NA-NA-NA-NA-hydrophone_0-1.wav,hydrophone,NA,NA,NA,NA,NA,0,,73b63d56891749fb444de19dd817fe4f,g60e6ee291d,train
